target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	5	2.43042
NM_001305290.1	963	864	159	185.973
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	8	3.64826
NM_001305293.1	2561	2462	184	75.5259
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	158	45.079
NM_001305296.1	1113	1014	433	431.535
NM_001305297.1	2361	2262	15	6.70138
NM_001305298.1	681	582	14.0131	24.332
NM_001305299.1	1313	1214	5.77183	4.80464
NM_001305300.1	2361	2262	8	3.57407
NM_001305301.1	5652	5553	98.6476	17.9525
NM_001305302.1	1626	1527	13	8.6034
NM_001305303.1	1254	1155	3	2.62485
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	28.8039	8.7229
NM_001305306.1	1631	1532	2	1.31928
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	0	0
NM_001305309.1	1685	1586	2	1.27436
NM_001305310.1	833	734	110	151.448
NM_001305311.1	1912	1813	6.45581	3.59848
NM_001305312.1	3517	3418	46.0989	13.6296
NM_001305313.2	1779	1680	932.726	561.062
NM_001305314.1	524	425	1304	3100.66
NM_001305315.1	1100	1001	48	48.4588
NM_001305316.1	3845	3746	2	0.539546
NM_001305317.1	1655	1556	18.4579	11.9878
NM_001305318.1	772	673	2585	3881.61
NM_001305319.1	2422	2323	13	5.65536
NM_001305320.1	1257	1158	3	2.61805
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	15.9833	8.70272
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	0	0
NM_001305325.1	1260	1161	651.927	567.457
NM_001305326.1	2144	2045	2	0.988331
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	82	62.7302
NM_001305329.1	3088	2989	7.54705	2.55163
NM_001305330.1	1983	1884	16	8.58233
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	160	63.458
NM_001305333.1	1727	1628	430	266.919
NM_001305334.1	1170	1071	3	2.83073
NM_001305335.1	1420	1321	168	128.52
NM_001305336.1	1301	1202	37	31.1074
NM_001305337.1	3182	3083	182	59.6573
NM_001305338.1	561	462	1026	2244.25
NM_001305339.1	1063	964	44	46.1255
NM_001305340.1	1914	1815	125	69.5984
NM_001305341.1	3018	2919	38.3089	13.2627
NM_001305342.1	1568	1469	23	15.8224
NM_001305343.1	381	282	1163	4167.7
NM_001305344.1	1713	1614	9	5.63514
NM_001305345.1	478	379	206.189	549.785
NM_001305346.1	794	695	267.121	388.408
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	10	2.03129
NM_001305349.1	2016	1917	5.60952	2.95713
NM_001305350.1	1904	1805	2.4145	1.35181
NM_001305351.1	1392	1293	2.18188	1.70529
NM_001305352.1	874	775	1844	2404.5
NM_001305353.1	1804	1705	6	3.55625
NM_001305354.1	2065	1966	89.0029	45.7495
NM_001305355.1	2154	2055	343.685	169.011
NM_001305356.1	5728	5629	110	19.7482
NM_001305358.1	1594	1495	37	25.0107
NM_001305359.1	1918	1819	1.19103	0.661692
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	10	11.3803
NM_001305362.1	2744	2645	212	80.9983
NM_001305363.1	1608	1509	1363	912.793
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	45	31.4275
NM_001305367.1	523	424	395.835	943.44
NM_001305368.2	1716	1617	3.73998	2.33736
NM_001305369.2	583	484	1114	2325.98
NM_001305370.1	1788	1689	29.6845	17.7609
NM_001305371.1	1531	1432	5.29882	3.7394
NM_001305372.1	792	693	311	453.516
NM_001305373.1	1593	1494	284.371	192.354
NM_001305375.1	527	428	22	51.9451
NM_001305376.1	674	575	233.339	410.096
NM_001305377.1	3063	2964	57.9737	19.766
NM_001305378.1	3255	3156	2.90242	0.92937
NM_001305379.1	5926	5827	29.7683	5.16268
NM_001305380.1	2571	2472	27.19	11.1154
NM_001305381.2	1961	1862	59.8657	32.4911
NM_001308835.1	2208	2109	8	3.83336
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	299	228.909
NM_001308844.1	1404	1305	0	0
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	2	2.81104
NM_001308854.1	2445	2346	1	0.430763
NM_001308855.1	1515	1416	9.32668	6.65625
NM_001308857.1	1022	923	18	19.7077
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	27	43.8671
NM_001308865.1	1958	1859	3	1.63083
NM_001308866.2	1811	1712	0	0
NM_001308870.1	1830	1731	0	0
NM_001308872.1	2265	2166	57	26.5939
NM_001308876.1	1452	1353	133	99.339
NM_001308878.1	2290	2191	32.4093	14.9483
NM_001308879.1	2688	2589	88	34.3492
NM_001308882.2	1264	1165	157	136.188
NM_001308885.1	1854	1755	0	0
NM_001308886.1	3234	3135	188	60.6019
NM_001308888.2	637	538	134.967	253.519
NM_001308889.1	1663	1564	363	234.55
NM_001308892.1	549	450	3	6.73713
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	7.89625	3.63706
NM_001308902.1	785	686	0	0
NM_001308905.1	1535	1436	41	28.8533
NM_001308906.2	2136	2037	0.000351655	0.000174459
NM_001308908.1	908	809	0	0
NM_001308909.1	1836	1737	30	17.4537
NM_001308913.1	2259	2160	8.62584	4.03565
NM_001308915.1	1541	1442	15	10.5122
NM_001308918.1	965	866	7.05324	8.2307
NM_001308924.1	3079	2980	11	3.73029
NM_001319969.1	1722	1623	18	11.2078
NM_001319970.1	1068	969	73	76.1316
NM_001367274.1	1042	943	0.000205219	0.000219924
NM_001367275.1	1033	934	6.64835	7.19338
NM_001367293.1	2261	2162	114.496	53.5182
NM_001367294.1	2136	2037	309.008	153.301
NM_001367295.1	2230	2131	5.55024e-05	2.63205e-05
NM_001367296.1	2105	2006	71.3844	35.9615
XM_011413559.3	1856	1757	0	0
XM_011413566.3	3391	3292	7	2.14884
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	0	0
XM_011413589.3	5392	5293	0.0929275	0.0177422
XM_011413590.3	5222	5123	37.2234	7.34274
XM_011413596.3	1119	1020	0	0
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	0	0
XM_011413602.3	3013	2914	7	2.42758
XM_011413623.3	1877	1778	36	20.4615
XM_011413624.3	2409	2310	4	1.7499
XM_011413626.3	5017	4918	5	1.02742
XM_011413629.3	3564	3465	0	0
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	0	0
XM_011413636.3	1087	988	8	8.18274
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	0	0
XM_011413649.3	806	707	1198	1712.39
XM_011413651.3	3224	3125	18	5.82088
XM_011413652.3	3776	3677	203.225	55.8533
XM_011413653.3	3811	3712	0.00711457	0.0019369
XM_011413654.3	3795	3696	0.765353	0.209265
XM_011413655.3	2831	2732	0	0
