target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	1	0.585258
NM_001305289.1	2178	2079	1.66266	0.73391
NM_001305290.1	963	864	163	173.128
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	0	0
NM_001305293.1	2561	2462	246	91.6938
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	134	34.7176
NM_001305296.1	1113	1014	395	357.48
NM_001305297.1	2361	2262	53	21.5019
NM_001305298.1	681	582	17	26.8052
NM_001305299.1	1313	1214	2.79258	2.11096
NM_001305300.1	2361	2262	5	2.02848
NM_001305301.1	5652	5553	82.5806	13.6472
NM_001305302.1	1626	1527	6	3.60583
NM_001305303.1	1254	1155	2	1.58906
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	10.3847	2.85583
NM_001305306.1	1631	1532	2	1.19802
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	0	0
NM_001305309.1	1685	1586	3	1.73585
NM_001305310.1	833	734	77	96.2693
NM_001305311.1	1912	1813	0	0
NM_001305312.1	3517	3418	50.0363	13.434
NM_001305313.2	1779	1680	701.543	383.211
NM_001305314.1	524	425	1345	2904.2
NM_001305315.1	1100	1001	153.714	140.92
NM_001305316.1	3845	3746	3	0.734931
NM_001305317.1	1655	1556	17	10.0261
NM_001305318.1	772	673	2073	2826.68
NM_001305319.1	2422	2323	12	4.74051
NM_001305320.1	1257	1158	8	6.33979
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	18.6739	9.23318
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	1.03265	0.199169
NM_001305325.1	1260	1161	610.852	482.833
NM_001305326.1	2144	2045	5	2.24373
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	105	72.9423
NM_001305329.1	3088	2989	0	0
NM_001305330.1	1983	1884	48	23.3805
NM_001305331.1	1416	1317	1	0.696799
NM_001305332.1	2647	2548	198	71.3114
NM_001305333.1	1727	1628	304	171.361
NM_001305334.1	1170	1071	2	1.7137
NM_001305335.1	1420	1321	66	45.8495
NM_001305336.1	1301	1202	12	9.16157
NM_001305337.1	3182	3083	150	44.6489
NM_001305338.1	561	462	561	1114.33
NM_001305339.1	1063	964	40	38.0782
NM_001305340.1	1914	1815	120	60.6733
NM_001305341.1	3018	2919	8.29466	2.6077
NM_001305342.1	1568	1469	12	7.4964
NM_001305343.1	381	282	1354	4406.18
NM_001305344.1	1713	1614	4	2.27431
NM_001305345.1	478	379	197.344	477.835
NM_001305346.1	794	695	194.436	256.735
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	1.52257	0.280853
NM_001305349.1	2016	1917	6.43557	3.08076
NM_001305350.1	1904	1805	0	0
NM_001305351.1	1392	1293	1.29656	0.920207
NM_001305352.1	874	775	2035.98	2410.82
NM_001305353.1	1804	1705	2	1.07646
NM_001305354.1	2065	1966	31.0777	14.5064
NM_001305355.1	2154	2055	316.229	141.216
NM_001305356.1	5728	5629	88.2952	14.3946
NM_001305358.1	1594	1495	29	17.8012
NM_001305359.1	1918	1819	1.18105	0.595841
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	30	31.0028
NM_001305362.1	2744	2645	225	78.0639
NM_001305363.1	1608	1509	877	533.339
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	29	18.3917
NM_001305367.1	523	424	244.973	530.207
NM_001305368.2	1716	1617	4.87516	2.76677
NM_001305369.2	583	484	2205	4180.77
NM_001305370.1	1788	1689	37.094	20.1543
NM_001305371.1	1531	1432	0	0
NM_001305372.1	792	693	239	316.488
NM_001305373.1	1593	1494	268	164.618
NM_001305375.1	527	428	46	98.6296
NM_001305376.1	674	575	230.177	367.356
NM_001305377.1	3063	2964	56.7671	17.5757
NM_001305378.1	3255	3156	5.61084	1.63149
NM_001305379.1	5926	5827	14.3851	2.26549
NM_001305380.1	2571	2472	31.0285	11.5188
NM_001305381.2	1961	1862	32.4961	16.0157
NM_001308835.1	2208	2109	6	2.61077
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	102	70.9119
NM_001308844.1	1404	1305	1	0.703206
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	1	0.648082
NM_001308857.1	1022	923	16	15.9078
NM_001308859.1	1131	1032	0	0
