"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"NM_001305290.1" 145.913727527509 0.45803232848042 0.116185469488073 3.9422513890813 8.07203043198781e-05 0.00956400572224221
"NM_001305310.1" 59.8423979120154 -1.57087577826281 0.264433421928964 -5.94053416850161 2.84094834692033e-09 1.64630374023718e-06
"NM_001305333.1" 595.72866403987 1.67482164760634 0.156352745364789 10.7118147730556 8.95881565049021e-27 5.71070744824848e-23
"NM_001305339.1" 20.3262163592999 -1.09665323957932 0.267054390259332 -4.10647897798788 4.01736005004019e-05 0.00596519915005697
"NM_001305362.1" 319.626991211152 1.18981916538081 0.211052881931483 5.63754048033836 1.72496064475156e-08 8.20566353276443e-06
"NM_001305373.1" 213.693708937155 1.05964545167395 0.306402367712962 3.45834615960482 0.000543502571172197 0.0347144568104214
"NM_001308854.1" 1.77112589732955 -3.61629699308571 1.07795989962741 -3.35476022283913 0.000794338034253605 0.0449146947829815
"NM_001308861.1" 14.3051658735129 -0.823104598794163 0.244141731961436 -3.37142115025291 0.000747814421168088 0.0432565176614688
"NM_001308879.1" 70.7193968184283 -0.806903604109963 0.216733172647126 -3.72302769462855 0.000196847919924529 0.0172835727378363
"NM_001308913.1" 1513.8187270477 8.0449714547045 0.795192224246849 10.1170147410887 4.64363035228137e-24 2.11431123697017e-20
"NM_001308924.1" 247.810340886022 5.50943210212202 0.688894507955627 7.99749749562076 1.2697335666497e-15 2.12994464401364e-12
"XM_011413623.3" 27.2802595607624 -0.673037354880956 0.187617810828831 -3.58727858462749 0.000334147264440046 0.0251612159104542
"XM_011413703.3" 321.347448555222 -1.09113732946096 0.206606732007591 -5.28122834555491 1.28320639105939e-07 4.59532068492638e-05
"XM_011413735.3" 6.3007324675163 4.01737653772807 1.19704470603611 3.35607894798783 0.000790559977292256 0.0448340348687879
"XM_011413737.3" 34.2005227601661 -1.36106707135748 0.264548072763103 -5.14487615480113 2.67697352703833e-07 8.79592786121294e-05
"XM_011413957.2" 175.921820131489 0.476591450609501 0.132498960886339 3.59694481693584 0.000321976756558921 0.0245503425479568
"XM_011413989.3" 11.4264959831911 -2.71737160976669 0.630406307430133 -4.31050828289475 1.62879727521589e-05 0.00298350728480925
"XM_011414589.3" 16.0436538254156 0.87291499751607 0.244238407008933 3.57402837746213 0.000351530806690584 0.0254698743759876
"XM_011414951.3" 29.3204222675269 -0.667906387194624 0.180215848325744 -3.70614678675412 0.000210436367195363 0.0181543136783115
"XM_011415190.3" 15.7728077769741 -0.925306437148569 0.277224547904095 -3.33775073002797 0.000844594820359763 0.0466040234697961
"XM_011416606.3" 159.294647472432 1.05245998056351 0.228876603662372 4.59837293861652 4.25803276899393e-06 0.00100527422528426
"XM_011416726.3" 31.4489167141923 0.889285227085579 0.154365017094486 5.76092461766289 8.36543975772844e-09 4.23211580886223e-06
"XM_011416892.3" 17.5944297713054 0.951829721124995 0.266471416342369 3.57197681533715 0.000354296783165258 0.0256057756758347
"XM_011416960.3" 6.39243722381565 -1.30920619734378 0.389335912651391 -3.3626648731889 0.000771940140167995 0.0440274353992875
"XM_011417063.3" 6.20057264172571 6.28665479133601 1.45710077509036 4.31449553717116 1.59967765299249e-05 0.00296423989280096
"XM_011417064.3" 7.67204705560368 -4.4817425069747 1.06250458912895 -4.21809237609871 2.46377886056665e-05 0.00408987290854065
"XM_011417316.3" 27.1218165639274 -3.27108018319599 0.978431146805788 -3.34318893452528 0.000828214902807186 0.0459075919691663
"XM_011417317.3" 24.2311044644935 3.24999538889423 0.68052617981089 4.77570956902402 1.79074687578159e-06 0.000483683766312803
"XM_011417325.3" 20.2002418477155 -1.4056749755149 0.315310037282526 -4.45807240273604 8.26999707564888e-06 0.00175720897863387
"XM_011417799.3" 124.379143374078 -0.647837376517739 0.16511779602253 -3.92348609370576 8.72768054064228e-05 0.0100785737025852
"XM_011417830.3" 31.3021331972616 0.713159979923444 0.201578995757468 3.53786850283494 0.000403370888571047 0.0283802140409192
"XM_011417902.3" 10.5937436910116 1.30084434952548 0.276206680706383 4.70967735537261 2.48109236122009e-06 0.000637720772071023
"XM_011417904.3" 28.142448643327 0.62009974152156 0.154823888460637 4.0051942092852 6.1966548766672e-05 0.00774004165410015
"XM_011417908.2" 20.4986005686716 -0.661249886932962 0.174399093608041 -3.79159015825571 0.000149685788674369 0.0147349678736111
