target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	0.0102686	0.00485024
NM_001305290.1	963	864	284	322.784
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	3	1.32941
NM_001305293.1	2561	2462	337	134.416
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	242	67.0926
NM_001305296.1	1113	1014	531	514.238
NM_001305297.1	2361	2262	69	29.9546
NM_001305298.1	681	582	30	50.6181
NM_001305299.1	1313	1214	4.07572	3.29681
NM_001305300.1	2361	2262	1	0.434125
NM_001305301.1	5652	5553	38.6455	6.83406
NM_001305302.1	1626	1527	0	0
NM_001305303.1	1254	1155	8	6.80167
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	19.2243	5.6572
NM_001305306.1	1631	1532	0	0
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	2	1.18241
NM_001305309.1	1685	1586	1	0.619162
NM_001305310.1	833	734	20	26.7573
NM_001305311.1	1912	1813	0	0
NM_001305312.1	3517	3418	31.3766	9.01449
NM_001305313.2	1779	1680	792.212	463.063
NM_001305314.1	524	425	1461	3375.74
NM_001305315.1	1100	1001	83.4758	81.8907
NM_001305316.1	3845	3746	3	0.786432
NM_001305317.1	1655	1556	32	20.1952
NM_001305318.1	772	673	4727	6897.29
NM_001305319.1	2422	2323	4	1.6909
NM_001305320.1	1257	1158	9	7.63206
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	30.7097	16.2482
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	0	0
NM_001305325.1	1260	1161	497.797	421.044
NM_001305326.1	2144	2045	0	0
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	64	47.5757
NM_001305329.1	3088	2989	16.1045	5.29089
NM_001305330.1	1983	1884	8	4.16982
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	165	63.5905
NM_001305333.1	1727	1628	652	393.279
NM_001305334.1	1170	1071	0	0
NM_001305335.1	1420	1321	48	35.6817
NM_001305336.1	1301	1202	6	4.90179
NM_001305337.1	3182	3083	193	61.474
NM_001305338.1	561	462	680	1445.36
NM_001305339.1	1063	964	15	15.28
NM_001305340.1	1914	1815	195	105.503
NM_001305341.1	3018	2919	12.7733	4.29712
NM_001305342.1	1568	1469	10	6.68476
NM_001305343.1	381	282	1215	4230.92
NM_001305344.1	1713	1614	11	6.69263
NM_001305345.1	478	379	6.06314	15.7096
NM_001305346.1	794	695	231.069	326.486
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	0	0
NM_001305349.1	2016	1917	0	0
NM_001305350.1	1904	1805	1	0.54404
NM_001305351.1	1392	1293	0	0
NM_001305352.1	874	775	2356	2985.25
NM_001305353.1	1804	1705	4	2.30379
NM_001305354.1	2065	1966	38.6798	19.3201
NM_001305355.1	2154	2055	129.704	61.9795
NM_001305356.1	5728	5629	100.986	17.6173
NM_001305358.1	1594	1495	30	19.7055
NM_001305359.1	1918	1819	5.19292	2.80341
NM_001305360.1	1214	1115	3.34736	2.94805
NM_001305361.1	987	888	5	5.52923
NM_001305362.1	2744	2645	249	92.4446
NM_001305363.1	1608	1509	2118	1378.3
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	17	11.5369
NM_001305367.1	523	424	841.702	1949.4
NM_001305368.2	1716	1617	0	0
NM_001305369.2	583	484	3752	7612.46
NM_001305370.1	1788	1689	26.9196	15.6511
NM_001305371.1	1531	1432	4.08941	2.8043
NM_001305372.1	792	693	510	722.678
NM_001305373.1	1593	1494	391.275	257.181
NM_001305375.1	527	428	110	252.381
NM_001305376.1	674	575	314.004	536.26
NM_001305377.1	3063	2964	52.3782	17.3532
NM_001305378.1	3255	3156	11.424	3.55458
NM_001305379.1	5926	5827	16.0909	2.71171
NM_001305380.1	2571	2472	7.99714	3.17683
NM_001305381.2	1961	1862	72	37.9717
NM_001308835.1	2208	2109	31	14.4342
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	153	113.822
NM_001308844.1	1404	1305	0	0
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	1.119	0.468392
NM_001308855.1	1515	1416	7.09222	4.91843
NM_001308857.1	1022	923	10	10.6391
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	4	6.31506
NM_001308865.1	1958	1859	2	1.05647
NM_001308866.2	1811	1712	0	0
NM_001308870.1	1830	1731	0	0
NM_001308872.1	2265	2166	24	10.8808
NM_001308876.1	1452	1353	129	93.6267
NM_001308878.1	2290	2191	14.7795	6.62407
NM_001308879.1	2688	2589	25	9.48234
NM_001308882.2	1264	1165	49	41.3026
NM_001308885.1	1854	1755	0	0
NM_001308886.1	3234	3135	210	65.7793
NM_001308888.2	637	538	733.632	1339.07
NM_001308889.1	1663	1564	514	322.726
NM_001308892.1	549	450	1	2.1822
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	0	0
NM_001308902.1	785	686	1	1.43147
NM_001308905.1	1535	1436	40	27.3535
NM_001308906.2	2136	2037	0.000155987	7.51979e-05
NM_001308908.1	908	809	0	0
NM_001308909.1	1836	1737	29	16.3948
NM_001308913.1	2259	2160	1271.62	578.11
NM_001308915.1	1541	1442	1	0.680993
NM_001308918.1	965	866	2.48906	2.82244
NM_001308924.1	3079	2980	49	16.1468
NM_001319969.1	1722	1623	5	3.02524
NM_001319970.1	1068	969	14	14.1877
NM_001367274.1	1042	943	0.000123467	0.000128572
NM_001367275.1	1033	934	2.99988	3.15402
NM_001367293.1	2261	2162	43.6217	19.8132
NM_001367294.1	2136	2037	508.548	245.159
NM_001367295.1	2230	2131	0	0
NM_001367296.1	2105	2006	0	0
XM_011413559.3	1856	1757	0	0
XM_011413566.3	3391	3292	0	0
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	0	0
XM_011413589.3	5392	5293	0.0639672	0.0118676
XM_011413590.3	5222	5123	50.4156	9.66381
XM_011413596.3	1119	1020	0	0
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	0	0
XM_011413602.3	3013	2914	10	3.36991
XM_011413623.3	1877	1778	30	16.569
XM_011413624.3	2409	2310	35	14.8787
XM_011413626.3	5017	4918	2	0.399346
XM_011413629.3	3564	3465	0	0
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	0	0
XM_011413636.3	1087	988	19	18.8845
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	0	0
XM_011413649.3	806	707	1391	1932.04
XM_011413651.3	3224	3125	6	1.88542
XM_011413652.3	3776	3677	114.491	30.5764
XM_011413653.3	3811	3712	0.00532568	0.00140888
XM_011413654.3	3795	3696	0.503279	0.133716
XM_011413655.3	2831	2732	6.37965	2.29311
XM_011413656.3	5026	4927	25.0904	5.00072
XM_011413657.3	4988	4889	0	0
XM_011413658.3	4994	4895	0	0
XM_011413659.3	4990	4891	0	0
XM_011413660.3	4856	4757	49.9096	10.3029
XM_011413662.3	1889	1790	2	1.0972
XM_011413664.3	2379	2280	1.00559	0.433105
XM_011413665.3	2523	2424	45	18.23
XM_011413666.3	2845	2746	32.9019	11.766
XM_011413667.3	2122	2023	30.5949	14.8512
XM_011413668.3	2028	1929	0	0
XM_011413669.3	1984	1885	18.9819	9.8886
XM_011413671.3	2089	1990	0.136718	0.0674651
XM_011413672.3	2083	1984	3.28653	1.62669
XM_011413673.3	2083	1984	0	0
XM_011413674.3	2009	1910	0	0
XM_011413675.3	1464	1365	0	0
XM_011413676.3	4562	4463	0	0
XM_011413677.3	5397	5298	0	0
XM_011413678.3	4041	3942	24	5.97864
XM_011413680.3	2785	2686	5	1.82798
XM_011413681.3	1518	1419	0	0
XM_011413682.3	1820	1721	2	1.14119
XM_011413683.3	2233	2134	0	0
XM_011413684.3	772	673	0	0
XM_011413685.3	631	532	4	7.38339
XM_011413697.3	1818	1719	13	7.42635
XM_011413700.3	4553	4454	1.64671	0.363057
XM_011413701.3	1168	1069	0	0
XM_011413703.3	1681	1582	161	99.9372
XM_011413705.3	3383	3284	9	2.69121
XM_011413706.3	4541	4442	28.2081	6.23595
XM_011413707.3	3483	3384	0	0
XM_011413712.3	699	600	5	8.18326
XM_011413713.3	723	624	0	0
XM_011413714.3	3472	3373	3	0.873399
XM_011413715.3	4558	4459	0.505281	0.111276
XM_011413717.3	3099	3000	8	2.61864
XM_011413718.3	4729	4630	7.46938e-06	1.5842e-06
XM_011413719.3	4696	4597	0.0139449	0.00297885
XM_011413720.3	4665	4566	17.3284	3.72675
XM_011413721.3	4774	4675	0	0
XM_011413722.3	4780	4681	0	0
XM_011413725.3	4434	4335	0	0
XM_011413726.3	4183	4084	0	0
XM_011413727.3	4190	4091	0	0
XM_011413728.3	4138	4039	0	0
XM_011413730.3	1529	1430	0	0
XM_011413731.3	1523	1424	7	4.82721
XM_011413732.3	4278	4179	125.547	29.5014
XM_011413733.3	2435	2336	58.3881	24.5448
XM_011413734.3	3490	3391	14.1116	4.08654
XM_011413735.3	1477	1378	0	0
XM_011413737.3	2520	2421	13.2594	5.37818
XM_011413738.3	3181	3082	0	0
XM_011413741.3	2293	2194	15	6.71371
XM_011413745.3	3863	3764	0.0344061	0.00897622
XM_011413746.3	3839	3740	28.9656	7.60534
XM_011413747.3	6808	6709	3.22587	0.472169
XM_011413748.3	968	869	768	867.859
XM_011413752.3	3017	2918	0	0
XM_011413754.3	2575	2476	0	0
XM_011413756.3	1488	1389	5	3.53489
XM_011413758.3	2034	1935	1	0.507489
XM_011413759.3	7204	7105	32	4.42276
XM_011413760.2	1093	994	0	0
XM_011413769.3	2933	2834	2.39358	0.829385
XM_011413770.3	1156	1057	0	0
XM_011413771.3	1068	969	0	0
XM_011413773.3	1135	1036	0	0
XM_011413775.3	1096	997	0	0
XM_011413776.3	1084	985	0	0
XM_011413777.3	1063	964	0	0
XM_011413778.3	1045	946	0	0
XM_011413779.3	931	832	0	0
XM_011413780.3	1024	925	0	0
XM_011413781.3	910	811	0	0
XM_011413788.3	1868	1769	0	0
XM_011413790.3	1816	1717	12.7728	7.30503
XM_011413795.3	1103	1004	5.44644	5.32705
XM_011413797.3	1102	1003	15.5536	15.2278
XM_011413798.3	5913	5814	0	0
XM_011413799.3	5434	5335	0	0
XM_011413800.3	5322	5223	36	6.76847
XM_011413801.3	5988	5889	0	0
XM_011413804.3	2175	2076	16	7.56834
XM_011413807.3	1697	1598	0	0
XM_011413808.3	1617	1518	5	3.23449
XM_011413809.3	3950	3851	0	0
XM_011413810.3	3926	3827	58	14.8825
XM_011413814.3	4473	4374	59.0141	13.2491
XM_011413817.3	2358	2259	0	0
XM_011413822.3	2095	1996	7	3.44386
XM_011413823.3	1785	1686	1	0.582439
XM_011413829.1	1224	1125	0	0
XM_011413836.3	1683	1584	0	0
XM_011413837.2	2457	2358	0	0
XM_011413838.3	1264	1165	0	0
XM_011413839.3	2474	2375	5	2.06735
XM_011413840.3	2940	2841	10.5545	3.64817
XM_011413849.3	3867	3768	2	0.521227
XM_011413850.3	1454	1355	16	11.5955
XM_011413859.3	1806	1707	5	2.87637
XM_011413863.3	893	794	0	0
XM_011413864.3	765	666	8	11.7957
XM_011413865.3	1284	1185	4.04336	3.35067
XM_011413866.3	1478	1379	1.95671	1.39338
XM_011413868.3	1895	1796	0	0
XM_011413890.3	675	576	0	0
XM_011413895.3	2779	2680	3	1.09924
XM_011413899.3	2381	2282	2.75271	1.18455
XM_011413901.3	2009	1910	0	0
XM_011413903.3	1973	1874	0	0
XM_011413908.3	1926	1827	0	0
XM_011413910.3	2729	2630	0	0
XM_011413911.3	3906	3807	0.0589894	0.0152159
XM_011413912.3	3896	3797	0.941011	0.243367
XM_011413918.3	4314	4215	1	0.232975
XM_011413919.3	985	886	1	1.10834
XM_011413923.3	1378	1279	0	0
XM_011413924.3	802	703	0	0
XM_011413925.3	1296	1197	0	0
XM_011413926.3	804	705	18	25.0721
XM_011413927.3	2109	2010	0	0
XM_011413928.3	1532	1433	0	0
XM_011413939.3	2788	2689	1	0.365188
XM_011413943.3	1091	992	0	0
XM_011413944.3	1437	1338	4	2.9357
XM_011413945.2	1340	1241	2	1.58258
XM_011413946.3	4255	4156	2.39276	0.565368
XM_011413947.3	2434	2335	12.7147	5.34719
XM_011413948.3	3162	3063	0	0
XM_011413949.3	2223	2124	5.89257	2.72432
XM_011413950.3	1401	1302	0	0
XM_011413951.3	1430	1331	0	0
XM_011413953.3	1832	1733	0	0
XM_011413954.3	1480	1381	16	11.3772
XM_011413955.3	1190	1091	1	0.900084
XM_011413956.3	1707	1608	0	0
XM_011413957.2	584	485	269	544.651
XM_011413958.3	5029	4930	0	0
XM_011413964.3	1044	945	0	0
XM_011413966.3	1125	1026	1	0.957107
XM_011413967.3	2646	2547	4	1.54219
XM_011413968.3	1816	1717	0	0
XM_011413969.3	3213	3114	0	0
XM_011413970.3	3192	3093	0	0
XM_011413971.3	3177	3078	0	0
XM_011413972.3	3175	3076	0	0
XM_011413973.3	3164	3065	0	0
XM_011413974.3	3156	3057	0	0
XM_011413975.3	3121	3022	0	0
XM_011413976.3	3383	3284	0	0
XM_011413977.3	3070	2971	0	0
XM_011413978.3	3353	3254	0	0
XM_011413979.3	3320	3221	0	0
XM_011413981.3	2981	2882	0.00872853	0.0029741
XM_011413982.3	3252	3153	0	0
XM_011413986.3	3204	3105	9.84084	3.11228
XM_011413987.3	3555	3456	0	0
XM_011413988.3	3234	3135	0	0
XM_011413989.3	2895	2796	3.80878	1.33769
XM_011413990.3	2888	2789	53.3504	18.7844
XM_011413991.3	2622	2523	4	1.55686
XM_011413992.3	1675	1576	0	0
XM_011413993.3	1619	1520	7	4.52233
XM_011413994.3	13498	13399	3.12801	0.229247
XM_011414000.3	1926	1827	84.0637	45.1833
